LLM File,Program,KQuery File,Similarity (%)
result.txt,91,test000487.kquery,0.37
result.txt,91,test000488.kquery,0.37
result.txt,91,test000489.kquery,0.37
result.txt,91,test000490.kquery,0.35
result.txt,91,test000491.kquery,0.37
result.txt,91,test000492.kquery,0.36
result.txt,91,test000493.kquery,0.37
result.txt,91,test000494.kquery,0.36
result.txt,91,test000495.kquery,0.37
result.txt,91,test000496.kquery,0.37
result.txt,91,test000497.kquery,0.37
result.txt,91,test000498.kquery,0.37
result.txt,91,test000499.kquery,0.36
result.txt,91,test000500.kquery,0.36
result.txt,91,test000501.kquery,0.35
result.txt,91,test000502.kquery,0.36
result.txt,91,test000503.kquery,0.37
result.txt,91,test000504.kquery,0.36
result.txt,91,test000505.kquery,0.37
result.txt,91,test000506.kquery,0.37
result.txt,91,test000507.kquery,0.36
result.txt,91,test000508.kquery,0.36
result.txt,91,test000509.kquery,0.37
result.txt,91,test000510.kquery,0.36
result.txt,91,test000511.kquery,0.37
result.txt,91,test000512.kquery,0.37
result.txt,91,test000513.kquery,0.35
result.txt,91,test000514.kquery,0.37
result.txt,91,test000515.kquery,0.37
result.txt,91,test000516.kquery,0.37
result.txt,91,test000517.kquery,0.36
result.txt,91,test000518.kquery,0.36
result.txt,91,test000519.kquery,0.36
result.txt,91,test000520.kquery,0.37
result.txt,91,test000521.kquery,0.37
result.txt,91,test000522.kquery,0.37
result.txt,91,test000523.kquery,0.37
result.txt,91,test000524.kquery,0.35
result.txt,91,test000525.kquery,0.37
result.txt,91,test000526.kquery,0.37
result.txt,91,test000527.kquery,0.37
result.txt,91,test000528.kquery,0.36
result.txt,91,test000529.kquery,0.36
result.txt,91,test000530.kquery,0.36
result.txt,91,test000531.kquery,0.37
result.txt,91,test000532.kquery,0.37
result.txt,91,test000533.kquery,0.37
result.txt,91,test000534.kquery,0.37
result.txt,91,test000535.kquery,0.37
result.txt,91,test000536.kquery,0.35
result.txt,91,test000537.kquery,0.36
result.txt,91,test000538.kquery,0.36
result.txt,91,test000539.kquery,0.37
result.txt,91,test000540.kquery,0.37
result.txt,91,test000541.kquery,0.37
result.txt,91,test000542.kquery,0.36
result.txt,91,test000543.kquery,0.37
result.txt,91,test000544.kquery,0.37
result.txt,91,test000545.kquery,0.37
result.txt,91,test000546.kquery,0.37
result.txt,91,test000547.kquery,0.36
result.txt,91,test000548.kquery,0.35
result.txt,91,test000549.kquery,0.37
result.txt,91,test000550.kquery,0.37
result.txt,91,test000551.kquery,0.36
result.txt,91,test000552.kquery,0.37
result.txt,91,test000553.kquery,0.37
result.txt,91,test000554.kquery,0.37
result.txt,91,test000555.kquery,0.36
result.txt,91,test000556.kquery,0.37
result.txt,91,test000557.kquery,0.35
result.txt,91,test000558.kquery,0.37
result.txt,91,test000559.kquery,0.37
result.txt,91,test000560.kquery,0.37
result.txt,91,test000561.kquery,0.36
result.txt,91,test000562.kquery,0.36
result.txt,91,test000563.kquery,0.36
result.txt,91,test000564.kquery,0.37
result.txt,91,test000565.kquery,0.36
result.txt,91,test000566.kquery,0.37
